Sep 05, 2023 5:21:57 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /xipki-mgmt-cli/lock
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 05, 2023 5:21:59 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-09-05T17:22:01,139 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {profile} from /xipki-mgmt-cli/etc/profile.cfg
2023-09-05T17:22:01,255 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.shell} from /xipki-mgmt-cli/etc/org.apache.karaf.shell.cfg
2023-09-05T17:22:01,327 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.felix.fileinstall~deploy} from /xipki-mgmt-cli/etc/org.apache.felix.fileinstall-deploy.cfg
2023-09-05T17:22:01,507 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.xipki.ocsp.mgmt.client} from /xipki-mgmt-cli/etc/org.xipki.ocsp.mgmt.client.cfg
2023-09-05T17:22:01,632 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.features} from /xipki-mgmt-cli/etc/org.apache.karaf.features.cfg
2023-09-05T17:22:01,784 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.ops4j.pax.url.mvn} from /xipki-mgmt-cli/etc/org.ops4j.pax.url.mvn.cfg
2023-09-05T17:22:01,920 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.log} from /xipki-mgmt-cli/etc/org.apache.karaf.log.cfg
2023-09-05T17:22:02,127 | INFO  | FelixStartLevel  | fileinstall                       205 | 16 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.xipki.ca.mgmt.client} from /xipki-mgmt-cli/etc/org.xipki.ca.mgmt.client.cfg
2023-09-05T17:22:02,281 | INFO  | FelixDispatchQueue | Main                               94 | 3 - org.ops4j.pax.logging.pax-logging-api - 2.2.0 | Karaf started in 3s. Bundle stats: 18 active, 18 total
2023-09-05T17:22:03,926 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Adding features: aries-blueprint/[4.4.3,4.4.3],feature/[4.4.3,4.4.3],framework/[4.4.3,4.4.3],bundle/[4.4.3,4.4.3],shell/[4.4.3,4.4.3],log/[4.4.3,4.4.3],wrap/[2.6.12,2.6.12]
2023-09-05T17:22:04,445 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 | Changes to perform:
